gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20140904_GB@SEA,3,4,3,SEA,GB,2,1,56,(4:03) 22-R.TURBIN RIGHT TACKLE TO GB 39 FOR 5 YARDS (56-J.PEPPERS).,0,0,2014
20140904_GB@SEA,3,3,23,SEA,GB,1,10,61,"(3:23) 24-M.LYNCH UP THE MIDDLE TO GB 35 FOR 4 YARDS (76-M.DANIELS, 42-M.BURNETT).",0,0,2014
20140904_GB@SEA,3,2,46,SEA,GB,2,6,65,(2:46) 3-R.WILSON PASS SHORT RIGHT TO 86-Z.MILLER PUSHED OB AT GB 26 FOR 9 YARDS (50-A.HAWK).,0,0,2014
20140904_GB@SEA,3,2,1,SEA,GB,1,10,74,(2:01) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT.,0,0,2014
20140904_GB@SEA,3,1,54,SEA,GB,2,10,74,(1:54) (SHOTGUN) 24-M.LYNCH RIGHT END TO GB 26 FOR NO GAIN (76-M.DANIELS; 33-M.HYDE).,0,0,2014
20140904_GB@SEA,3,1,8,SEA,GB,3,10,74,(1:08) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 11-P.HARVIN TO GB 16 FOR 10 YARDS (42-M.BURNETT).,0,0,2014
20140904_GB@SEA,3,0,28,SEA,GB,1,10,84,(:28) (SHOTGUN) 3-R.WILSON SCRAMBLES UP THE MIDDLE TO GB 3 FOR 13 YARDS. #3 WILSON SLID DOWN ON HIS OWN.,0,0,2014
20140904_GB@SEA,4,15,0,SEA,GB,1,3,97,"(15:00) 24-M.LYNCH LEFT TACKLE FOR 3 YARDS, TOUCHDOWN.",0,0,2014
20140904_GB@SEA,4,14,55,SEA,GB,0,0,98,"4-S.HAUSCHKA EXTRA POINT IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",0,0,2014
20140904_GB@SEA,4,14,55,SEA,GB,0,0,35,4-S.HAUSCHKA KICKS 68 YARDS FROM SEA 35 TO GB -3. 33-M.HYDE TO GB 18 FOR 21 YARDS (40-D.COLEMAN; 57-M.MORGAN).,0,0,2014
